X1,T,D,Y,icfes_female,icfes_age,icfes_urm,icfes_stratum,icfes_famsize
32.64,1,1,1,1,16,1,1,6
.0700006103515634,1,1,1,0,17,0,2,4
35.56000038146973,1,1,1,0,15,0,,
-2.510001220703124,0,0,0,0,16,0,1,2
-5.609999694824218,0,0,0,0,17,0,3,4
-10.77999786376953,0,0,0,1,16,0,3,4
-8.349997558593749,0,0,1,0,16,0,3,5
-12.98999755859375,0,0,1,1,17,0,2,4
-.089999237060546,0,0,1,0,15,0,2,4
24.12999816894531,1,0,0,0,16,0,2,5
14.54000091552734,1,1,1,0,16,0,2,5
-21.84999816894531,0,0,0,0,16,0,3,4
-17.73999755859375,0,0,0,0,17,0,2,5
-11.52999786376953,0,0,0,0,16,0,,
8.739998779296876,1,0,0,0,16,0,2,5
-22.19000213623047,0,0,1,0,17,1,2,5
-8.639998474121093,0,0,0,0,16,0,2,4
7.100000000000001,1,1,1,0,17,0,2,3
6.020001373291016,1,1,1,1,17,0,2,5
28.82,1,0,0,1,17,0,2,5
-9.900000610351562,0,0,1,1,16,0,2,4
-10.80000213623047,0,0,0,0,16,0,2,4
3.730000457763673,1,0,1,1,16,0,1,4
-9.190001525878905,0,0,0,0,17,0,3,6
-8.410003356933593,0,0,0,0,17,0,2,3
16.65000183105469,1,1,1,1,15,0,2,4
-4.330000915527343,0,0,0,1,16,0,3,2
-2.060000457763671,0,0,1,0,15,0,2,4
-10.83000091552734,0,0,1,0,16,0,3,3
-16.34000305175781,0,0,1,1,17,0,3,3
-5.539999999999999,0,0,0,0,16,0,3,4
32.51000000000001,1,1,1,0,18,0,2,4
-.360000305175781,0,0,0,1,23,0,2,6
-3.769999542236327,0,0,0,0,16,0,3,4
31.79,1,0,0,0,16,0,2,5
10.23000045776367,1,0,0,1,17,0,3,5
20.35,1,1,1,1,16,0,2,2
15.43000122070313,1,1,1,0,17,0,3,3
25.06,1,1,1,0,18,0,2,5
-1.069999389648437,0,0,1,0,16,0,3,5
.8799981689453134,1,1,1,0,15,0,3,5
-13.83000091552734,0,0,1,1,16,0,3,3
-15.55000213623047,0,0,1,0,16,0,2,3
-5.650000610351562,0,0,0,1,16,0,2,4
-2.299998321533202,0,0,0,1,17,1,2,6
-3.840000152587891,0,0,0,1,16,0,2,6
-6.339999237060546,0,0,0,1,16,0,2,3
-.2099987792968747,0,0,0,1,15,0,2,4
-15.52000335693359,0,0,0,1,16,0,3,4
-2.060000457763671,0,0,1,0,16,0,2,6
-34.98000335693359,0,0,1,1,16,0,2,3
-13.16999725341797,0,0,1,0,15,0,3,5
-.5299984741210935,0,0,0,0,16,0,3,4
-20.48000244140625,0,0,1,0,16,1,3,3
-3.420001068115234,0,0,1,0,14,0,2,10
.5200013732910165,1,1,1,1,17,0,2,4
50,1,1,1,0,16,0,1,4
6.380000000000003,1,1,1,1,46,0,2,10
